lm_id,lm_name,refmet_standardized_name,refmet_formula,refmet_exact_mass,refmet_super_class,refmet_main_class,refmet_sub_class,refmet_pubchem_cid,refmet_chebi_id,refmet_hmdb_id,refmet_lm_id,refmet_kegg_id,refmet_inchi_key,refmet_id,lm_id_mismatch
LMPK12112443,"Myricetin 3,7-diglucuronide",,,,,,,,,,,,,,False
LMPK12110550,Isoorientin 4'-O-glucoside-2''-O-(E)-caffeate,,,,,,,,,,,,,,False
LMPK12110753,Isoscoparin 2''-(6-(E)-ferulylglucoside),,,,,,,,,,,,,,False
LMPK12112707,Quercetin 3-methyl ether 4'-glucoside,,,,,,,,,,,,,,False
LMPK12112706,Quercetin 3-methyl ether 3'-glucoside,,,,,,,,,,,,,,False
LMPK12110751,Stellarin 2,,,,,,,,,,,,,,False
LMPK12110817,Luteolin 4'-methyl ether 7-(4G-rhamnosylneohesperidoside),,,,,,,,,,,,,,False
LMPK12110838,3-(3-Methylbutyl)tricetin 5-neohesperidoside,,,,,,,,,,,,,,False
LMPK12110811,Luteolin 4'-methyl ether 7-glucuronide,4'-O-Methylluteolin-7-glucuronide,C22H20O12,476.0955,Polyketides,Flavonoids,Flavones and Flavonols,44258222,,,LMPK12110811,,XCKMDTYMOHXUHG-SXFAUFNYSA-N,RM0186815,False
LMPK12110686,"Luteolin 7,3',4'-triglucuronide",,,,,,,,,,,,,,False
LMPK12110771,Luteolin 3'-methyl ether 7-glucuronide,,,,,,,,,,,,,,False
LMPK12111105,Scutellarein 5-glucuronide,,,,,,,,,,,,,,False
LMST01160051,Withasomniferol D,,,,,,,,,,,,,,False
LMFA07040133,Topsentolide A2,,,,,,,,,,,,,,False
LMFA07040134,Topsentolide C2,,,,,,,,,,,,,,False
LMFA07040135,Topsentolide C1,,,,,,,,,,,,,,False
LMFA02000377,(Z)-Stellettic acid B,,,,,,,,,,,,,,False
LMFA07040137,"4S-Hydroxy-5S-octyl-4,5-dihydro-3H-furan-2-one",,,,,,,,,,,,,,False
LMPK12111348,"Isoscutellarein 8,4'-dimethyl ether 7-glucuronide",,,,,,,,,,,,,,False
LMPK12112848,6-Hydroxykaempferol 4'-methyl ether 7-glucoside,,,,,,,,,,,,,,False
LMPK12112117,Quercetin 3-sambubioside-7-rhamnoside,,,,,,,,,,,,,,False
LMPK12110193,Cucumerin A,,,,,,,,,,,,,,False
LMFA08020373,Oxidized macamide,,,,,,,,,,,,,,False
LMFA08020374,Oxidized macamide,,,,,,,,,,,,,,False
LMFA08020373,Oxidized macamide,,,,,,,,,,,,,,False
LMFA08020374,Oxidized macamide,,,,,,,,,,,,,,False
LMFA07011190,"(2Z,8Z)-10-Tigloyloxy matricaria ester",,,,,,,,,,,,,,False
LMFA07011191,"(2Z,8Z)-10-Angeloyloxy matricaria ester",,,,,,,,,,,,,,False
LMFA07011192,"(2Z, 8Z)-10-Methacryloyloxy matricaria ester",,,,,,,,,,,,,,False
LMPR0103540005,16-epi-pretoxin,,,,,,,,,,,,,,False
LMPR0103540014,16-epi-Austrobuxusin B,,,,,,,,,,,,,,False
LMFA01140098,Adiantic acid,,,,,,,,,,,,,,False
LMPR0103540007,Austrobuxusin G,,,,,,,,,,,,,,False
LMPR0103540008,Austrobuxusin H,,,,,,,,,,,,,,False
LMPR0103540010,epi-Austrobuxusin G,,,,,,,,,,,,,,False
LMPR0103540011,Austrobuxusin I,,,,,,,,,,,,,,False
LMPR0103540012,Austrobuxusin J,,,,,,,,,,,,,,False
